[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (fixed), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:26:00.368662     632 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: === 
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.908s/epoch
  epoch  7650 | val 0.627 | best_train 0.619 | v_th [0.876/0.376/12.170] | tau 20.000 | 258s
  epoch  7700 | val 0.610 | best_train 0.619 | v_th [0.898/0.472/12.195] | tau 20.000 | 259s
  epoch  7750 | val 0.619 | best_train 0.619 | v_th [0.739/0.505/12.287] | tau 20.000 | 261s
  epoch  7800 | val 0.621 | best_train 0.619 | v_th [0.736/0.551/12.117] | tau 20.000 | 263s
  epoch  7850 | val 0.611 | best_train 0.620 | v_th [0.833/0.516/12.155] | tau 20.000 | 264s
  epoch  7900 | val 0.617 | best_train 0.620 | v_th [0.716/0.522/12.325] | tau 20.000 | 266s
  epoch  7950 | val 0.624 | best_train 0.620 | v_th [0.733/0.562/12.291] | tau 20.000 | 268s
  epoch  8000 | val 0.617 | best_train 0.620 | v_th [0.686/0.532/12.185] | tau 20.000 | 269s
  epoch  8050 | val 0.626 | best_train 0.620 | v_th [0.819/0.479/12.378] | tau 20.000 | 271s
  epoch  8100 | val 0.616 | best_train 0.620 | v_th [0.698/0.560/12.394] | tau 20.000 | 272s
  epoch  8150 | val 0.625 | best_train 0.620 | v_th [0.742/0.478/12.462] | tau 20.000 | 274s
  epoch  8200 | val 0.618 | best_train 0.620 | v_th [0.658/0.467/12.763] | tau 20.000 | 276s
  epoch  8250 | val 0.619 | best_train 0.620 | v_th [0.721/0.437/12.840] | tau 20.000 | 277s
  epoch  8300 | val 0.626 | best_train 0.620 | v_th [0.715/0.429/12.968] | tau 20.000 | 279s
  epoch  8350 | val 0.637 | best_train 0.623 | v_th [0.700/0.466/12.968] | tau 20.000 | 280s
  epoch  8400 | val 0.626 | best_train 0.623 | v_th [0.889/0.422/12.778] | tau 20.000 | 282s
  epoch  8450 | val 0.634 | best_train 0.623 | v_th [0.748/0.412/12.829] | tau 20.000 | 284s
  epoch  8500 | val 0.646 | best_train 0.626 | v_th [0.818/0.443/12.584] | tau 20.000 | 285s
  epoch  8550 | val 0.645 | best_train 0.626 | v_th [0.922/0.361/12.797] | tau 20.000 | 287s
  epoch  8600 | val 0.639 | best_train 0.628 | v_th [0.817/0.342/12.879] | tau 20.000 | 288s
  epoch  8650 | val 0.641 | best_train 0.628 | v_th [0.789/0.368/12.876] | tau 20.000 | 290s
  epoch  8700 | val 0.641 | best_train 0.630 | v_th [0.855/0.410/12.842] | tau 20.000 | 292s
  epoch  8750 | val 0.636 | best_train 0.632 | v_th [0.866/0.373/12.884] | tau 20.000 | 293s
  epoch  8800 | val 0.635 | best_train 0.632 | v_th [0.790/0.426/12.805] | tau 20.000 | 295s
  epoch  8850 | val 0.634 | best_train 0.632 | v_th [0.856/0.405/12.950] | tau 20.000 | 296s
  epoch  8900 | val 0.638 | best_train 0.633 | v_th [0.785/0.492/13.101] | tau 20.000 | 298s
  epoch  8950 | val 0.643 | best_train 0.633 | v_th [0.901/0.434/13.212] | tau 20.000 | 300s
  epoch  9000 | val 0.638 | best_train 0.633 | v_th [0.913/0.404/13.276] | tau 20.000 | 301s
  epoch  9050 | val 0.632 | best_train 0.633 | v_th [0.963/0.403/13.286] | tau 20.000 | 303s
  epoch  9100 | val 0.645 | best_train 0.633 | v_th [0.937/0.450/13.183] | tau 20.000 | 304s
  epoch  9150 | val 0.647 | best_train 0.636 | v_th [0.902/0.476/13.293] | tau 20.000 | 306s
  epoch  9200 | val 0.644 | best_train 0.636 | v_th [0.801/0.470/13.382] | tau 20.000 | 308s
  epoch  9250 | val 0.644 | best_train 0.637 | v_th [1.024/0.467/13.268] | tau 20.000 | 309s
  epoch  9300 | val 0.636 | best_train 0.637 | v_th [0.805/0.563/13.126] | tau 20.000 | 311s
  epoch  9350 | val 0.635 | best_train 0.637 | v_th [0.637/0.602/13.254] | tau 20.000 | 312s
  epoch  9400 | val 0.653 | best_train 0.639 | v_th [0.765/0.617/13.027] | tau 20.000 | 314s
  epoch  9450 | val 0.646 | best_train 0.639 | v_th [0.771/0.567/13.207] | tau 20.000 | 316s
  epoch  9500 | val 0.651 | best_train 0.639 | v_th [0.761/0.602/13.128] | tau 20.000 | 317s
  epoch  9550 | val 0.646 | best_train 0.646 | v_th [0.809/0.568/13.203] | tau 20.000 | 319s
  epoch  9600 | val 0.646 | best_train 0.646 | v_th [0.714/0.603/13.338] | tau 20.000 | 320s
  epoch  9650 | val 0.641 | best_train 0.646 | v_th [0.845/0.493/13.683] | tau 20.000 | 322s
  epoch  9700 | val 0.646 | best_train 0.646 | v_th [0.951/0.426/13.831] | tau 20.000 | 323s
  epoch  9750 | val 0.646 | best_train 0.651 | v_th [0.830/0.521/13.702] | tau 20.000 | 325s
  epoch  9800 | val 0.642 | best_train 0.651 | v_th [0.824/0.536/13.971] | tau 20.000 | 327s
  epoch  9850 | val 0.655 | best_train 0.651 | v_th [0.763/0.546/14.026] | tau 20.000 | 328s
  epoch  9900 | val 0.654 | best_train 0.652 | v_th [0.638/0.580/14.048] | tau 20.000 | 330s
  epoch  9950 | val 0.653 | best_train 0.660 | v_th [0.729/0.509/14.377] | tau 20.000 | 331s
  epoch 10000 | val 0.655 | best_train 0.660 | v_th [0.855/0.469/14.446] | tau 20.000 | 333s

===== 可训练 LIF 超参实验汇总 =====
epochs=10000 val_acc=0.655 best_train=0.660 v_th(0.300 -> [0.855/0.469/14.446]) tau(20.0 -> 20.000) (333s)

results appended to results_vth_trainable_h128_128_128_perlayer_fixed.csv
