[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (cosine), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:33:06.677982     510 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: ===
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.912s/epoch
  epoch  8400 | val 0.702 | best_train 0.692 | v_th [0.548/0.235/9.874] | tau 20.000 | 279s
  epoch  8450 | val 0.697 | best_train 0.692 | v_th [0.550/0.236/9.878] | tau 20.000 | 281s
  epoch  8500 | val 0.704 | best_train 0.692 | v_th [0.553/0.237/9.881] | tau 20.000 | 283s
  epoch  8550 | val 0.700 | best_train 0.692 | v_th [0.554/0.234/9.873] | tau 20.000 | 284s
  epoch  8600 | val 0.700 | best_train 0.692 | v_th [0.560/0.235/9.880] | tau 20.000 | 286s
  epoch  8650 | val 0.699 | best_train 0.692 | v_th [0.563/0.237/9.889] | tau 20.000 | 288s
  epoch  8700 | val 0.696 | best_train 0.692 | v_th [0.569/0.237/9.876] | tau 20.000 | 289s
  epoch  8750 | val 0.695 | best_train 0.692 | v_th [0.568/0.234/9.892] | tau 20.000 | 291s
  epoch  8800 | val 0.700 | best_train 0.692 | v_th [0.569/0.234/9.894] | tau 20.000 | 293s
  epoch  8850 | val 0.699 | best_train 0.692 | v_th [0.571/0.234/9.890] | tau 20.000 | 294s
  epoch  8900 | val 0.703 | best_train 0.693 | v_th [0.566/0.233/9.887] | tau 20.000 | 296s
  epoch  8950 | val 0.698 | best_train 0.693 | v_th [0.566/0.234/9.885] | tau 20.000 | 298s
  epoch  9000 | val 0.703 | best_train 0.693 | v_th [0.568/0.231/9.881] | tau 20.000 | 299s
  epoch  9050 | val 0.698 | best_train 0.693 | v_th [0.568/0.230/9.879] | tau 20.000 | 301s
  epoch  9100 | val 0.697 | best_train 0.693 | v_th [0.571/0.230/9.880] | tau 20.000 | 303s
