[env] backend=cuda batch=60000 accumulate=5 chunk=12000 rank=64 T=8 noise_reuse=0
[data] train=60000 test=10000 dir=D:\Rust\snn_t1\mnist_data
epoch  1890 | train_acc 0.8557 | best_train 0.8557 | 1.33s | cum 2514.5s
epoch  1900 | train_acc 0.8553 | best_train 0.8564 | 1.33s | cum 2528.0s
epoch  1910 | train_acc 0.8546 | best_train 0.8564 | 1.33s | cum 2541.5s
epoch  1920 | train_acc 0.8554 | best_train 0.8564 | 1.33s | cum 2554.9s
epoch  1930 | train_acc 0.8541 | best_train 0.8570 | 1.34s | cum 2568.2s
epoch  1940 | train_acc 0.8555 | best_train 0.8570 | 1.33s | cum 2581.6s
epoch  1950 | train_acc 0.8556 | best_train 0.8572 | 1.34s | cum 2594.9s
epoch  1960 | train_acc 0.8554 | best_train 0.8572 | 1.33s | cum 2608.2s
epoch  1970 | train_acc 0.8567 | best_train 0.8572 | 1.33s | cum 2621.5s
epoch  1980 | train_acc 0.8576 | best_train 0.8582 | 1.33s | cum 2634.9s
epoch  1990 | train_acc 0.8586 | best_train 0.8592 | 1.33s | cum 2648.2s
epoch  2000 | train_acc 0.8582 | best_train 0.8607 | val_acc 0.9105 | best_val 0.9105 | 1.48s | cum 2661.7s
epoch  2010 | train_acc 0.8592 | best_train 0.8611 | 1.33s | cum 2675.0s
epoch  2020 | train_acc 0.8588 | best_train 0.8611 | 1.34s | cum 2688.3s
epoch  2030 | train_acc 0.8582 | best_train 0.8618 | 1.33s | cum 2701.6s
epoch  2040 | train_acc 0.8607 | best_train 0.8618 | 1.33s | cum 2714.9s
epoch  2050 | train_acc 0.8604 | best_train 0.8619 | 1.33s | cum 2728.2s
epoch  2060 | train_acc 0.8587 | best_train 0.8619 | 1.33s | cum 2741.5s
epoch  2070 | train_acc 0.8601 | best_train 0.8619 | 1.34s | cum 2754.9s
epoch  2080 | train_acc 0.8611 | best_train 0.8619 | 1.33s | cum 2768.2s
epoch  2090 | train_acc 0.8610 | best_train 0.8620 | 1.29s | cum 2782.7s
epoch  2100 | train_acc 0.8613 | best_train 0.8621 | 1.31s | cum 2795.7s
epoch  2110 | train_acc 0.8632 | best_train 0.8632 | 1.32s | cum 2808.7s
epoch  2120 | train_acc 0.8611 | best_train 0.8632 | 1.31s | cum 2821.9s
epoch  2130 | train_acc 0.8625 | best_train 0.8632 | 1.31s | cum 2834.9s
epoch  2140 | train_acc 0.8622 | best_train 0.8638 | 1.31s | cum 2848.0s
epoch  2150 | train_acc 0.8605 | best_train 0.8643 | 1.31s | cum 2861.1s
epoch  2160 | train_acc 0.8624 | best_train 0.8643 | 1.34s | cum 2874.2s
epoch  2170 | train_acc 0.8629 | best_train 0.8643 | 1.34s | cum 2887.5s
epoch  2180 | train_acc 0.8642 | best_train 0.8650 | 1.34s | cum 2900.8s
